0,1,2,3,4,5
,1958.0,1963.0,1967.0,1972.0,1977.0
Revenue side,,,,,
eiSVV,2.445,2.467,2.648,2.606,2.674
e = S/V,2.638,2.644,2.884,2.874,2.913
(e-e)/e,7.3,6.7,8.2,9.3,8.2
Use side,,,,,
e = S/V,2.444,2.467,2.648,2.604,2.63
e =  S/V,2.605,2.617,2.858,2.849,2.89
( e - e  ) /e,6.2,5.7,7.3,8.6,9.0
,"Source:  Khanjian (1989, table 19).",,,,
the two sets of measures is an index of the aggregate impact of purchaser-,,,,,
,price-labor-value  deviations. Table 5.12 shows that  these differences  are,,,,
,"minor, ranging from  6 to 9. Note that the value rate of surplus value",,,,
,is always smaller than the money rate (although they have the same trend).,,,,
,This is apparently due to the fact that the prices of consumer goods have,,,,
,higher  trading  markups  than  the average  bundle  of goods  in net out-,,,,
,"put  (consumer  goods  pass  through  both  wholesale  and  retail  channels,",,,,
,"whereas investment goods do not). By construction, the price of the aver-",,,,
,age commodity  is equal to its value.23 The relatively  greater  markup  of,,,,
,consumer  goods tends to make their  purchaser  prices higher  than  labor,,,,
,"values,  leading to a money  form  of variable  capital  V which is higher",,,,
,"than the value of labor power V, as well as a money rate of surplus value",,,,
