0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,Agriculture,,,,,,,,,,,,,,,
T a b l ed,(Wp)nr = ( E C / F E E ) M r = (eCp)Mr,$/worker/year,1602.0,1572.0,1.54,1671.0,1714.0,1706.0,1628.0,1671.0,1769.0,1852.0,1928.0,1986.0,2105.0,2206.0
607B4,"F E E , fr",thousands,2072.0,2000.0,2067.0,1999.0,1933.0,1882.0,1902.0,1847.0,1769.0,1747.0,1780.0,1771.0,1755.0,1763.0
6O4B4,E C Mr,millions of S,3319.0,3143.0,3184.0,3340.0,3314.0,3210.0,3097.0,3087.0,3129.0,3235.0,3431.0,3517.0,3694.0,3889.0
Table G.I,"(Lp).,r",thousands,6038.0,5810.0,5798.0,5445.0,5244.0,5032.0,4955.0,4744.0,4484.0,4205.0,3944.0,3791.0,3627.0,3517.0
,V Mr = ( e c p ) nr  x ( L p ) nr  = ( W p ) ur,millions of $,9673.0,9130.0,8931.0,9098.0,8990.0,8582.0,8068.0,7928.0,7932.0,7787.0,7603.0,7529.0,7635.0,7757.0
,Government  enterprises,,,,,,,,,,,,,,,
,"w,e = ( E C / F E E )^  = ( e c p ) , e",$/worker/year,3092.0,3241.0,3424.0,3640.0,3860.0,3933.0,3984.0,4246.0,4419.0,4560.0,4912.0,5041.0,5298.0,5489.0
607B81,FEE^fed,thousands,538.0,570.0,553.0,578.0,620.0,599.0,599.0,597.0,603.0,622.0,633.0,645.0,664.0,680.0
607B86,"F E E , *,",thousands,211.0,221.0,234.0,246.0,284.0,292.0,293.0,300.0,302.0,305.0,320.0,352.0,372.0,368.0
,"F E E , * * ,,",thousands,749.0,791.0,787.0,824.0,904.0,891.0,892.0,897.0,905.0,927.0,953.0,997.0,1036.0,1048.0
6O4B81,E C f ed,millions of $,1676.0,1857.0,1935.0,2140.0,2433.0,2366.0,2367.0,2535.0,2689.0,2859.0,3187.0,3276.0,3555.0,3790.0
604B86,EC$1,millions of S,640.0,707.0,760.0,859.0,1056.0,1138.0,1187.0,1274.0,1310.0,1368.0,1494.0,1750.0,1934.0,1962.0
,"ECjco,.,",millions of $,2316.0,2564.0,2695.0,2999.0,3489.0,3504.0,3554.0,3809.0,3999.0,4227.0,4681.0,5026.0,5489.0,5752.0
Table F.I,"(Lp)^fed = (Lp/L) n o n f O V I O, X L ^ f ed",thousands,447.0,469.0,455.0,472.0,500.0,480.0,474.0,471.0,470.0,479.0,478.0,486.0,496.0,503.0
Table F.I,"(L P)g«l = ( L p / L ) n o n g o v t o(   X L f e $,",thousands,175.0,182.0,193.0,201.0,229.0,234.0,232.0,236.0,236.0,235.0,242.0,265.0,278.0,272.0
Table F.I,"<L p),«ou. = <Lp>,efed + <Lp)ge$1",thousands,623.0,650.0,648.0,674.0,729.0,714.0,706.0,707.0,706.0,714.0,720.0,751.0,774.0,775.0
,Vte = ( e c p ) r x ( L p ) g e t o t tl,millions of $,1925.0,2108.0,2218.0,2451.0,2814.0,2810.0,2813.0,3002.0,3120.0,3257.0,3538.0,3785.0,4103.0,4253.0
,"TOTAL TRADE  = W,,",millions of S,31939.0,32482.0,34714.0,37746.0,39659.0,42029.0,43194.0,46175.0,"49"",723",52311.0,53600.0,57321.0,60652.0,61810.0
,Wholesale  trade,,,,,,,,,,,,,,,
Table G.I,Wwh«r,millions of $,10504.0,10382.0,11107.0,12462.0,13102.0,13887.0,14281.0,15233.0,16855.0,17814.0,18336.0,19735.0,20941.0,"21,6f"
,Retail  trade,,,,,,,,,,,,,,,
Table G.I,,millions of $,20352.0,21061.0,22471.0,24046.0,25259.0,26742.0,27379.0,29287.0,31097.0,32715.0,33487.0,35678.0,37774.0,38200.0
,wretlr,,,,,,,,,,,,,,,
,Building rental,,,,,,,,,,,,,,,
Table G.I,,millions of S,1083.0,1039.0,1136.0,1238.0,1298.0,1401.0,1534.0,1655.0,1771.0,1782.0,1777.0,1908.0,1937.0,2002.0
