0,1,2,3,4,5,6,7,8
Table J.I,,(cont.),,,,,,
,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0
,41.61,42.57,43.82,44.88,46.09,48.01,48.71,49.36
,150.97,154.46,159.02,162.84,167.26,174.2,176.74,179.11
,2547.01,2574.98,2600.71,2725.78,2819.18,2958.52,3127.77,3284.82
,774.29,795.67,811.42,869.52,913.42,973.35,1057.19,1149.69
,30.4,30.9,31.2,31.9,32.4,32.9,33.8,35.0
2 3 4 5 6 7 8 9,61216.73,60489.83,59343.48,60736.75,61160.48,61625.11,64214.98,66546.13
,23.61,24.18,25.05,25.71,26.43,27.67,28.09,28.59
,154.3,158.02,163.74,168.02,172.73,180.85,183.61,186.86
,1445.26,1462.61,1486.8,1561.5,1616.48,1705.31,1804.07,1902.69
10,439.4,451.9,463.9,498.1,523.7,561.0,609.8,665.9
11,61216.73,60489.83,59343.48,60736.75,61160.48,61625.11,64214.98,66546.13
12,14.21,14.34,14.72,15.05,15.4,15.88,16.18,16.32
13,127.97,129.07,132.57,135.49,138.66,142.98,145.68,146.94
14,1620.72,1656.31,1698.72,1787.15,1858.02,1958.66,2068.93,2189.71
15,492.7,511.8,530.0,570.1,602.0,644.4,699.3,766.4
16,114022.0,115534.0,115368.0,118759.0,120646.0,123339.0,127866.0,134171.0
17,131.7,133.1,137.5,141.8,147.0,152.9,156.7,160.3
18,13.33,13.41,13.79,14.16,14.56,15.08,15.36,15.51
19,138.89,139.75,143.74,147.6,151.7,157.12,160.07,161.63
20,1374.67,1399.35,1426.28,1500.63,1562.35,1654.1,1745.56,1834.0
21,417.9,432.4,445.0,478.7,506.2,544.2,590.0,641.9
22,103153.0,104358.0,103414.0,105959.0,107339.0,109719.0,113654.0,118263.0
23,61216.73,60489.83,59343.48,60736.75,61160.48,61625.11,64214.98,66546.13
24,2039.17,2013.19,2021.01,2028.85,2037.8,2035.18,2047.33,2043.45
25,30020.46,30046.71,29363.23,29936.58,30013.06,30279.87,31365.18,32565.57
26,103152.52,104358.48,103413.69,105959.31,107339.38,109719.32,113654.13,118262.7
27,2048.14,2038.21,2039.64,2044.68,2047.17,2048.07,2042.52,2031.97
28,114022.0,115534.0,115368.0,118759.0,120646.0,123339.0,127866.0,134171.0
29,55671.0,56684.0,56563.0,58082.0,58933.0,60222.0,62602.0,66030.0
30,50364.0,51201.0,50702.0,51822.0,52433.0,53572.0,55644.0,58201.0
31,64099.0,64989.0,64740.0,66091.0,66655.0,67874.0,70128.0,73301.0
32,9309.0,9545.0,9894.0,10268.0,10460.0,10770.0,11118.0,12023.0
33,4426.0,4243.0,4144.0,4001.0,3762.0,3532.0,3366.0,3077.0
