0,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
Mp,173.22,198.47,189.06,212.56,244.59,254.35,268.66,261.36,287.18,303.11,314.63,308.0,334.93,343.72,347.54
RYP,6.53,7.51,8.21,9.06,10.1,11.2,12.52,13.57,14.73,16.19,17.61,19.04,20.8,21.89,23.03
"M;,",19.92,21.68,21.36,22.74,24.73,25.42,25.97,26.38,28.43,29.84,31.18,31.61,34.0,34.61,35.24
RYH,3.21,3.66,3.96,4.32,4.77,5.23,5.79,6.21,6.67,7.26,7.81,8.36,8.89,9.1,9.3
RYC,6.05,6.9,7.48,8.2,9.07,9.98,11.07,11.9,12.82,13.99,15.1,16.21,18.18,19.65,21.24
RY4,0.05,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.12,0.13,0.13,0.13
RYC,0.15,0.2,0.25,0.31,0.39,0.47,0.57,0.67,0.78,0.91,1.05,1.2,1.68,2.17,2.71
"RY.-,.",0.06,0.07,0.09,0.1,0.12,0.15,0.17,0.2,0.23,0.26,0.3,0.34,0.37,0.39,0.41
DP,7.93,9.42,9.29,10.81,12.85,13.8,15.04,15.08,17.07,18.54,19.79,19.92,21.44,21.78,21.8
Dtt,0.98,1.12,1.16,1.3,1.48,1.6,1.71,1.81,2.04,2.23,2.42,2.56,2.78,2.86,2.95
Dry,0.43,0.49,0.52,0.57,0.62,0.68,0.75,0.79,0.84,0.91,0.97,1.03,1.12,1.17,1.22
