0,4,8,12,1,2,5,6,9,10
Welfare  and  social  services,,,,3008.0,390.0,3146.0,466.0,3365.0,479.0
Veterans  benefits  and  services,,,,104.0,12.0,42.0,13.0,87.0,16.0
Housing  and  community  services,-597,-648,-656,1232.0,1829.0,1267.0,1915.0,1399.0,2055.0
"Housing,  community  development,  and  urban  renewal",-152,-160,-152,68.0,220.0,23.0,183.0,46.0,198.0
Water,-494,-547,-547,226.0,720.0,150.0,697.0,192.0,739.0
Sewerage,49,,43,539.0,490.0,653.0,594.0,687.0,644.0
Sanitation,,,,399.0,399.0,441.0,441.0,474.0,474.0
Recreational  and  cultural  activities  2,,,,478.0,478.0,513.0,513.0,570.0,570.0
Energy,- 4 00,- 4 10,- 4 42,,320.0,,356.0,15.0,457.0
Gas  utilities,- 31,- 38,- 42,17.0,48.0,-5.0,33.0,-8.0,34.0
Electric  utilities-,,- 3 72,- 4 00,,272.0,,323.0,23.0,423.0
Agriculture,,,,364.0,358.0,390.0,383.0,439.0,431.0
Natural  resources..,,,,332.0,332.0,431.0,431.0,498.0,498.0
Transportatio,- 2 93,- 3 38,-382,6146.0,6439.0,6727.0,7065.0,7597.0,7979.0
Highways...,- 1 65,- 2 00,-256,6056.0,6221.0,6555.0,6755.0,7351.0,7607.0
Water,- 35,- 43,,40.0,75.0,56.0,99.0,66.0,96.0
Air..,- 14,- 24,- 31,49.0,63.0,78.0,102.0,126.0,157.0
"Transit  and  railroad 
-",- 79,- 71,- 65,1.0,,,109.0,54.0,119.0
"Economic  development,  regulation,  and  services-",,,,275.0,275.0,305.0,305.0,350.0,350.0
Labor  training  and  services,,,,246.0,246.0,264.0,264.0,281.0,281.0
Commercial  activities,- 2 34,-243,- 2 32,,83.0,-169.0,74.0,,52.0
