0,1,2,3,4,5,6,7,8
Sources,Variables,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0
,G = G + WG,200.46,210.13,222.76,238.64,253.47,284.33,318.29
Table E.2,G,92.96,90.63,92.46,96.04,98.47,115.63,130.59
Table E.2,WG,107.5,119.5,130.3,142.6,155.0,168.7,187.7
Table H.I,SP,523.25,546.86,596.04,645.51,719.63,778.82,868.78
,G?/SP,0.38,0.38,0.37,0.37,0.35,0.37,0.37
Sources,Variables,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0
,G=G + WG,337.29,363.34,396.97,435.78,494.43,547.37,598.61
Table E.2,G,133.49,142.84,156.47,175.38,206.13,230.67,254.71
Table E.2,WG,203.8,220.5,240.5,260.4,288.3,316.7,343.9
Table H.I,SP,971.25,1086.66,1221.76,1347.44,1463.67,1669.4,1726.06
,G7SP,0.35,0.33,0.32,0.32,0.34,0.33,0.35
Sources,Variables,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0
,G = G + WG,624.39,679.89,755.83,797.0,837.34,871.73,925.91
Table E.2,G,257.99,289.29,336.83,353.2,365.44,366.63,384.31
Table E.2,WG,366.4,390.6,419.0,443.8,471.9,505.1,541.6
Table H.I,SP,1867.15,2103.7,2258.31,2389.25,2555.52,2755.18,2945.32
,G/SP,0.33,0.32,0.33,0.33,0.33,0.32,0.31
