0,1,2,3,4,5,6,7
1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0
1200.79,1307.97,1406.84,1457.17,1568.48,1728.88,1980.04,2161.8
982.14,1069.74,1152.47,1186.22,1270.83,1407.88,1623.58,1771.47
500.66,545.14,586.54,602.47,644.7,714.33,837.4,926.56
37.18,40.6,44.93,48.35,52.92,58.15,65.08,71.71
444.3,484.0,521.0,535.4,573.2,635.4,721.1,773.2
24.9,25.7,28.6,29.9,32.2,37.4,56.2,55.0
15.2,16.2,17.1,18.7,18.8,20.2,23.4,36.9
39.7,43.5,48.7,51.4,56.5,63.0,70.4,74.5
222.9,243.6,257.1,252.3,265.7,292.5,326.4,338.5
70.7,76.4,82.6,88.4,97.1,108.0,118.7,129.1
59.9,65.9,73.4,80.2,87.3,96.8,107.9,118.9
4.9,5.3,5.8,6.3,6.8,7.6,8.4,9.0
8.3,8.7,9.0,9.3,9.4,9.8,10.3,10.9
4.7,5.2,5.9,6.3,7.2,8.1,9.4,10.2
2.1,2.3,2.6,2.7,2.9,3.3,3.7,4.4
1.8,2.1,2.0,2.3,2.2,2.4,2.7,2.8
3.9,4.2,4.4,4.8,5.1,5.5,6.4,6.9
21.6,24.3,27.8,31.4,34.7,39.1,43.9,49.9
4.8,5.4,6.3,7.1,8.0,9.2,10.0,10.6
7.8,8.4,9.6,10.0,11.0,11.8,13.1,14.2
7.8,8.4,9.5,10.3,11.2,12.8,15.0,16.7
11.0,12.7,13.5,14.5,15.6,17.5,18.1,20.3
5.0,6.2,6.5,6.8,7.4,8.6,8.2,9.9
6.0,6.5,7.0,7.7,8.2,8.9,9.9,10.4
219.05,239.33,258.27,272.04,295.85,322.6,360.75,392.03
51.94,56.3,60.18,62.8,67.71,73.2,83.29,91.94
13.73,14.63,15.79,16.55,17.63,18.84,20.76,22.53
153.38,168.39,182.3,192.69,210.51,230.56,256.7,211.51
54.5,60.0,64.8,68.2,74.0,83.1,93.6,107.3
78.5,86.8,94.4,100.5,109.8,119.4,132.0,138.7
20.38,21.59,23.1,23.99,26.71,28.06,31.1,31.57
28.57,30.59,33.32,35.22,39.25,42.02,46.88,49.76
0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.29
39.2,42.1,46.1,49.0,54.9,59.1,66.3,70.5
84.9,90.7,98.7,105.4,116.7,126.1,139.5,151.1
45.7,48.6,52.6,56.4,61.8,67.0,73.2,80.6
43.9,46.6,50.5,54.1,59.4,64.4,70.3,77.2
1.8,2.0,2.1,2.3,2.4,2.6,2.9,3.4
8.19,9.0,10.21,11.23,12.54,13.96,15.78,18.19
10.63,11.51,12.78,13.78,15.65,17.08,19.42,20.74
-0.4,-1.1,-3.9,-1.1,1.8,-1.6,-4.3,-1.7
29.48,32.43,35.26,36.59,39.56,44.27,52.4,58.5
530.13,577.57,621.8,639.06,684.26,758.6,889.8,985.05
700.13,762.83,820.3,854.7,923.78,1014.55,1142.64,1235.25
670.66,730.4,785.04,818.11,884.22,970.28,1090.24,1176.75
