0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Sources0,Variables,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0
,TP*,2694.39,3058.1,3456.76,3833.25,4141.1,4654.4,4763.86,5086.97,5691.02,6014.18,6224.47,6606.59,7226.22,7641.82
Table D.2,M'P(=C*),1187.33,1367.27,1545.89,1710.49,1851.27,2078.34,2114.61,2235.61,2497.25,2618.65,2664.48,2808.66,3122.99,3278.25
Table D.2,Mi,115.69,131.33,147.87,163.83,171.94,194.31,203.79,220.06,248.59,268.62,279.0,295.8,320.09,341.01
Table D.2,M;y,54.66,65.33,73.99,84.61,94.92,107.35,113.28,132.31,145.83,168.11,193.79,215.76,233.15,256.12
,GFP = T P * - C*,1507.06,1690.83,1910.87,2122.76,2289.84,2576.06,2649.25,2851.36,3193.77,3395.53,3559.99,3797.93,4103.23,4363.57
,CON*,961.28,1068.01,1185.13,1321.81,1454.98,1599.86,1710.89,1853.81,2013.39,2161.53,2275.73,2434.73,2619.76,2777.29
1012,CON,1129.3,1257.2,1403.5,1566.8,1732.6,1915.1,2050.7,2234.5,2430.5,2629.0,2797.4,3009.4,3238.2,3450.1
Table E.I,GVAir,95.7,105.2,120.3,136.1,155.7,177.3,192.9,206.8,223.3,241.1,258.9,279.6,300.4,324.1
Table D.2,RYcon,74.14,85.72,101.03,115.54,129.62,146.59,154.68,180.67,199.14,229.56,264.63,294.63,318.37,349.74
60173,HH c on,5.4,5.9,6.2,6.5,6.6,7.0,7.6,8.2,8.9,9.03,9.08,9.13,9.72,10.25
Table D.2,ROWcon,- 7 . 22,- 7 . 63,- 9 . 16,- 1 3 . 15,- 1 4 . 29,- 1 5 . 65,- 1 5 . 38,- 1 4 . 99,- 1 4 . 23,- 1 2 . 22,- 1 0 . 93,- 8 . 69,- 1 0 . 06,- 1 1 . 29
,IG*,254.84,318.62,387.9,421.18,398.22,485.1,414.52,466.85,626.53,601.72,614.64,651.16,694.94,714.89
1016,IG,277.7,344.1,416.8,454.8,437.0,515.5,447.3,502.3,664.8,643.1,659.4,699.5,747.1,771.2
Table D.2,RYi,0.46,0.56,0.66,0.75,0.84,0.95,1.0,1.17,1.29,1.49,1.72,1.91,2.06,2.27
Table E.I,ABR,22.4,24.93,28.24,32.87,37.94,29.45,31.77,34.28,36.98,39.9,43.04,46.43,50.09,54.04
,(X-IM)*,- 1 2 . 91,- 3 5 . 29,- 4 0 . 48,- 4 4 . 04,- 3 6 . 36,- 4 1 . 22,- 4 7 . 94,- 7 9 . 65,- 1 2 9 . 87,- 1 4 1 . 28,- 1 5 6 . 38,- 1 6 4 . 96,- 1 3 1 . 34,- 1 1 0 . 05
101  15,X-IM,18.80',1.9,4.1,18.8,32.1,33.9,26.3,- 6 . 10,- 5 8 . 90,- 7 8 . 00,- 9 7 . 40,- 1 1 4 . 70,- 7 4 . 10,- 4 6 . 10
Table D.2,RYx_im,2.78,3.43,4.04,4.62,5.18,5.86,6.18,7.22,7.96,9.18,10.58,11.78,12.73,13.98
Table D.2,ROWx_im,28.93,33.76,40.54,58.22,63.27,69.26,68.06,66.33,63.01,54.1,48.4,38.48,44.52,49.97
,G*,133.49,142.84,156.47,175.38,206.13,230.67,254.71,257.99,289.29,336.83,353.2,365.44,366.63,384.31
3017,G R,356.9,387.3,425.2,467.8,530.4,588.1,641.7,675.0,735.9,820.8,872.2,921.4,962.5,1025.6
Table D.2,YG,20.23,24.7,29.11,33.29,37.35,42.24,44.57,52.06,57.38,66.15,76.25,84.9,91.74,100.78
3018,Wc,203.8,220.5,240.5,260.4,288.3,316.7,343.9,366.4,390.6,419.0,443.8,471.9,505.1,541.6
Table D.2,ROWg,- 0 . 61,- 0 . 74,- 0 . 88,- 1 . 27,- 1 . 38,- 1 . 51,- 1 . 48,- 1 . 45,- 1 . 37,- 1 . 18,- 1 . 05,- 0 . 84,- 0 . 97,- 1 . 09
Table E.I,,76.18*,88.36,99.9,110.54,119.64,134.31,136.66,144.48,161.39,169.23,172.19,181.51,201.83,211.86
,cd*,,,,,,,,,,,,,,
,FP*  =  G F P * - CJ,1430.88,1602.47,1810.97,2012.22,2170.2,2441.75,2512.59,2706.88,3032.38,3226.3,3387.8,3616.42,3901.4,4151.71
,"a  Unless  otherwise  indicated,  all  data  come  from  NIPA   (e.g.  BEA  1986),   where  the  first  three  digits  denote  the  relevant  table  number  and  subsequent  digits  the  line  numbers",,,,,,,,,,,,,,
within  those  tables.,,,,,,,,,,,,,,,
