0,1,2,3,4,5,6,7,8,9,10,11,12
Sources,Variables,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0
,S* = VA*-V*,547.67,596.7,645.98,719.75,778.25,867.02,968.82,1083.13,1221.07,1346.24,1462.7
Table E.I,VA*,818.11,884.22,970.28,1090.24,1176.75,1277.77,1428.45,1598.95,1810.27,2011.02,2169.23
Table  G.2,V*,270.43,287.53,324.3,370.49,398.5,410.75,459.63,515.81,589.2,664.78,706.53
,SVV*,2.03,2.08,1.99,1.94,1.95,2.11,2.11,2.1,2.07,2.03,2.07
,SP* =  F P * - N P*,546.86,596.04,645.51,719.63,778.82,868.78,971.25,1086.66,1221.76,1347.44,1463.67
,FP* = G F P * - D P,817.3,883.56,969.81,1090.12,1177.33,1279.53,1430.88,1602.47,1810.97,2012.22,2170.2
,GFP* =  T P * - M P,853.88,923.12,1014.08,1142.52,1235.82,1344.71,1507.06,1690.83,1910.87,2122.76,2289.84
Table E.2,TP*,1456.35,1567.82,1728.41,1979.91,2162.38,2368.48,2694.39,3058.1,3456.76,3833.25,4141.1
Table E.I,MP,602.47,644.7,714.33,837.4,926.56,1023.78,1187.33,1367.27,1545.89,1710.49,1851.27
Table E.2,Dp,36.59,39.56,44.27,52.4,58.5,65.17,76.18,88.36,99.9,110.54,119.64
Table  G.2,NP* = V*,270.43,287.53,324.3,370.49,398.5,410.75,459.63,515.81,589.2,664.78,706.53
,P+ =  V A - EC,308.31,345.73,378.56,428.37,444.12,487.92,545.75,612.38,690.57,751.0,789.88
"112  1""",VA = FD = NNP,926.6,1005.1,1104.8,1241.2,1335.4,1436.6,1603.6,1789.0,2019.8,2242.4,2428.1
"604B1""",EC,618.29,659.37,726.24,812.83,891.29,948.68,1057.85,1176.62,1329.23,1491.4,1638.22
,PVEC,0.5,0.52,0.52,0.53,0.5,0.51,0.52,0.52,0.52,0.5,0.48
,Pn =  ( P + ) - I BT,,,,,,,,,,,
,-corporate income tax,179.61,204.43,225.26,258.07,263.02,297.02,329.95,373.88,429.27,474.3,493.08
B-79*,IBT = indirect business tax,94.3,103.6,111.4,121.0,129.3,140.0,151.6,165.5,177.8,188.7,212.0
"B-80,  B-82f",Corporate income tax,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73.0,83.5,88.0,84.8
,P =  ( P + ) - I BT,214.01,242.13,267.16,307.37,314.82,347.92,394.15,446.88,512.77,562.3,577.88
