0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
610B86,Lgesl,thousands,645.0,650.0,680.0,700.0,730.0,727.0,728.0,743.0,760.0,791.0,822.0,833.0,848.0,868.0
,(Lp/L)nongovto<,,0.7,0.696,0.693,0.686,0.675,0.667,0.656,0.65,0.647,0.64,0.634,0.632,0.63,0.626
,"(Lp)gesl =  ( L p / L ) n o n g o v t o , x L g e 1",thousands,451.0,452.0,471.0,481.0,493.0,485.0,478.0,483.0,492.0,506.0,521.0,527.0,534.0,544.0
,(Lp)getoial = (Lp)gefed + (Lpjgesl,thousands,1025.0,1018.0,1040.0,1056.0,1064.0,1053.0,1026.0,1025.0,1044.0,1057.0,1063.0,1084.0,1105.0,1118.0
,,thousands,1464.0,1463.0,1501.0,1538.0,1576.0,1579.0,1564.0,1577.0,1614.0,1651.0,1678.0,1714.0,1753.0,1785.0
,(Lu)getotal= Lgetotal ~  (Lp)getotal,thousands,439.0,445.0,461.0,482.0,512.0,526.0,538.0,552.0,570.0,594.0,615.0,630.0,648.0,667.0
,TOTAL TRADE  L u = Lwhtr + LreItr,thousands,17097.0,17840.0,18812.0,19425.0,19395.0,19604.0,19419.0,19815.0,21038.0,21747.0,22215.0,22943.0,23558.0,24375.0
610B SO,Wholesale  trade  L w hu  = ( L u) w h lI,thousands,4690.0,4832.0,5072.0,5339.0,53.0,5522.0,5409.0,5409.0,5697.0,5804.0,5834.0,5991.0,6149.0,6399.0
6IOB51,Retail  trade  L r e u r = ( L u) r e Ur,thousands,12407.0,13008.0,13740.0,14086.0,13999.0,14082.0,14010.0,14406.0,15341.0,15943.0,16381.0,16.952,17409.0,17976.0
,Building  rent  Lbr =  L r e - L gr,thousands,718.0,757.0,822.0,885.0,901.0,882.0,892.0,942.0,986.0,1029.0,1057.0,1111.0,1157.0,1168.0
,ROYALTIES  Lr = Lfi +  L gr,thousands,3789.0,3951.0,4196.0,4420.0,4580.0,4740.0,4833.0,47.0,5151.0,5334.0,5609.0,5849.0,5925.0,5955.0
