0,1,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
,S = VA-V,547.67,596.7,645.98,719.75,778.25,867.02,968.82,1083.13,1221.07,1346.24,1462.7
,SVV,2.03,2.08,1.99,1.94,1.95,2.11,2.11,2.1,2.07,2.03,2.07
,SP =  F P  - N P,546.86,596.04,645.51,719.63,778.82,868.78,971.25,1086.66,1221.76,1347.44,1463.67
,FP = G F P  - D P,817.3,883.56,969.81,1090.12,1177.33,1279.53,1430.88,1602.47,1810.97,2012.22,2170.2
,GFP =  T P  - M P,853.88,923.12,1014.08,1142.52,1235.82,1344.71,1507.06,1690.83,1910.87,2122.76,2289.84
,P+ =  V A - EC,308.31,345.73,378.56,428.37,444.12,487.92,545.75,612.38,690.57,751.0,789.88
"112  1""",VA = FD = NNP,926.6,1005.1,1104.8,1241.2,1335.4,1436.6,1603.6,1789.0,2019.8,2242.4,2428.1
"604B1""",EC,618.29,659.37,726.24,812.83,891.29,948.68,1057.85,1176.62,1329.23,1491.4,1638.22
,PVEC,0.5,0.52,0.52,0.53,0.5,0.51,0.52,0.52,0.52,0.5,0.48
