year,I,I!,K,K g,KK,Pn,S,SP,b,c',fn,gK,r',s,s',s'u,s'«u,u,s_u_calc,r_calc,K_unified,gK_from_K_unified,r_sp_over_Ku,V_from_SP,C_from_SP,V_from_S,C_from_S
1958,,34.89,,0.18,710.9,96.54,256.15,256.04,0.62,0.86,,0.049,0.47,,0.14,0.1,,0.77,0.1078,0.07526881720430109,710.9,,0.4677443810936567,1828.857142857143,1572.817142857143,1829.6428571428569,1573.4928571428568
1959,,49.44,,0.17,738.0,104.46,278.42,278.34,0.62,0.82,,0.067,0.45,,0.18,0.15,,0.84,0.1512,0.09890109890109891,738.0,0.038120692080461316,0.44899341850561364,1546.3333333333333,1267.993333333333,1546.7777777777778,1268.3577777777778
1960,,46.74,,0.16,755.7,104.04,286.46,285.93,0.64,0.84,,0.062,0.45,,0.16,0.14,,0.84,0.1344,0.08695652173913045,755.7,0.023983739837398543,0.45043384563035216,1787.0625,1501.1325,1790.3749999999998,1503.9149999999997
1961,,45.31,,0.17,775.4,109.64,296.54,295.95,0.63,0.85,,0.058,0.46,,0.15,0.13,,0.83,0.12449999999999999,0.08108108108108107,775.4,0.026068545719200698,0.45984816231653464,1973.0,1677.05,1976.9333333333336,1680.3933333333334
1962,,54.09,,0.18,802.3,122.08,320.2,319.54,0.62,0.83,,0.067,0.46,,0.17,0.15,,0.87,0.1479,0.09289617486338798,802.3,0.03469177198865103,0.45779304041111696,1879.6470588235295,1560.1070588235293,1883.5294117647056,1563.3294117647056
1963,,58.27,,0.17,832.0,129.08,337.71,337.07,0.62,0.83,,0.07,0.45,,0.17,0.15,,0.9,0.15300000000000002,0.09289617486338798,832.0,0.03701857160663091,0.45014690170940164,1982.7647058823527,1645.6947058823528,1986.5294117647056,1648.8194117647056
1964,,63.05,,0.17,872.3,138.11,364.54,364.0,0.62,0.83,,0.072,0.45,,0.17,0.16,,0.93,0.15810000000000002,0.09289617486338798,872.3,0.04843749999999991,0.4486963767767575,2141.176470588235,1777.1764705882351,2144.3529411764707,1779.8129411764705
1965,,77.12,,0.17,932.3,154.28,395.0,394.44,0.61,0.8,,0.083,0.43,,0.2,0.19,,0.98,0.196,0.11111111111111112,932.3,0.06878367534105245,0.43171703949197404,1972.1999999999998,1577.76,1975.0,1580.0
1966,,86.75,,0.16,1014.4,167.85,430.65,430.09,0.61,0.8,,0.086,0.42,,0.2,0.2,,1.01,0.202,0.11111111111111112,1014.4,0.08806178268797593,0.41978675391198417,2150.45,1720.36,2153.2499999999995,1722.5999999999997
1967,,82.29,,0.16,1093.0,170.38,454.4,453.42,0.63,0.82,,0.075,0.42,,0.18,0.18,,0.99,0.1782,0.09890109890109891,1093.0,0.07748422712933767,0.4190301921317475,2519.0,2065.58,2524.4444444444443,2070.0444444444443
1968,,89.23,,0.15,1202.5,175.58,493.63,493.12,0.64,0.82,,0.074,0.41,,0.18,0.18,,0.99,0.1782,0.09890109890109891,1202.5,0.10018298261665137,0.4142212142212143,2739.5555555555557,2246.4355555555553,2742.388888888889,2248.758888888889
1969,,100.75,,0.14,1320.9,177.83,523.83,523.25,0.66,0.81,,0.076,0.4,,0.19,0.19,,0.99,0.1881,0.10497237569060773,1320.9,0.0984615384615386,0.40013275307392954,2753.9473684210525,2230.6973684210525,2757.0,2233.17
1970,,93.49,,0.14,1453.4,179.61,547.67,546.86,0.67,0.83,,0.064,0.42,,0.17,0.15,,0.9,0.15300000000000002,0.09289617486338798,1453.4,0.10031039442804146,0.41806950751494576,3216.8235294117644,2669.9635294117643,3221.588235294117,2673.918235294117
1971,,112.14,,0.15,1598.9,204.43,596.7,596.04,0.66,0.81,,0.07,0.42,,0.19,0.17,,0.88,0.16720000000000002,0.10497237569060773,1598.9,0.10011008669327093,0.4236150990169377,3137.052631578947,2541.012631578947,3140.5263157894738,2543.826315789474
1972,,134.63,,0.14,1737.7,225.26,645.98,645.51,0.65,0.79,,0.077,0.4,,0.21,0.19,,0.93,0.1953,0.11731843575418993,1737.7,0.08680968165613856,0.3994341797741545,3073.857142857143,2428.3471428571434,3076.095238095238,2430.115238095238
1973,,160.1,,0.14,1940.3,258.07,719.75,719.63,0.64,0.78,,0.083,0.39,,0.22,0.21,,,,0.12359550561797752,1940.3,0.1165908960119697,,3271.0454545454545,2551.4154545454544,3271.590909090909,2551.840909090909
1974,152.3,,2387.1,,,,,778.82,,0.8,0.12,0.064,0.36,778.25,0.2,,0.18,0.9,0.18000000000000002,0.11111111111111112,2387.1,0.23027366902025448,0.36251332393094365,3894.1,3115.28,,
1975,120.41,,2661.7,,,,,868.78,,0.86,0.14,0.045,0.41,867.02,0.14,,0.11,0.79,0.11060000000000002,0.07526881720430109,2661.7,0.1150349796824599,0.4131650895996325,6205.5714285714275,5336.791428571428,,
1976,163.83,,2920.8,,,,,971.25,,0.83,0.14,0.056,0.4,968.82,0.17,,0.14,0.83,0.1411,0.09289617486338798,2920.8,0.09734380283277622,0.40063705933017196,5713.235294117647,4741.985294117647,,
1977,212.85,,3253.5,,,,,1086.66,,0.8,0.13,0.065,0.38,1083.13,0.2,,0.17,0.87,0.17400000000000002,0.11111111111111112,3253.5,0.1139071487263763,0.38390486637732313,5433.3,4346.64,,
1978,268.03,,3774.6,,,,,1221.76,,0.78,0.13,0.071,0.36,1221.07,0.22,,0.2,0.89,0.1958,0.12359550561797752,3774.6,0.16016597510373431,0.36368464074175283,5553.454545454545,4331.694545454546,,
1979,288.23,,4225.2,,,,,1347.44,,0.79,0.13,0.068,0.36,1346.24,0.21,,0.19,0.89,0.18689999999999998,0.11731843575418993,4225.2,0.11937688761723098,0.3583209145341967,6416.380952380953,5068.940952380954,,
1980,254.39,,4884.4,,,,,1463.67,,0.83,0.12,0.053,0.36,1462.7,0.17,,0.15,0.85,0.14450000000000002,0.09289617486338798,4884.4,0.15601628325286376,0.35254375273981514,8609.823529411764,7146.153529411764,,
1981,323.44,,5503.7,,,,,1669.4,,0.81,0.12,0.059,0.36,1668.19,0.19,,0.16,0.84,0.1596,0.10497237569060773,5503.7,0.12679141757431833,0.3610990701493455,8786.315789473685,7116.915789473685,,
1982,249.11,,5859.2,,,,,1726.06,,0.86,0.12,0.043,0.38,1724.68,0.14,,0.11,0.77,0.1078,0.07526881720430109,5859.2,0.06459291022403102,0.3825840325703788,12328.999999999998,10602.939999999999,,
1983,290.23,,6094.71,,,,,1867.15,,0.84,0.12,0.048,0.36,1865.8,0.16,,0.13,0.84,0.1344,0.08695652173913045,6094.71,0.04019490715456042,0.3647093330195562,11669.6875,9802.5375,,
1984,429.23,,6432.91,,,,,2103.7,,0.8,0.13,0.067,0.37,2101.78,0.2,,0.18,0.89,0.17800000000000002,0.11111111111111112,6432.91,0.05549074525285036,0.36743990902539275,10518.499999999998,8414.8,,
1985,392.53,,6706.44,,,,,2258.31,,0.83,0.13,0.059,0.38,2258.68,0.17,,0.16,0.89,0.15130000000000002,0.09289617486338798,6706.44,0.04252041455577649,0.37835676846316896,13284.176470588234,11025.866470588235,,
1986,398.85,,7056.52,,,,,2389.25,,0.83,0.14,0.057,0.4,2401.11,0.17,,0.14,0.85,0.14450000000000002,0.09289617486338798,7056.52,0.05220057139108092,0.39833832440653133,14054.411764705881,11665.161764705881,,
1987,422.29,,7459.32,,,,,2555.52,,0.83,0.13,0.057,0.39,2563.38,0.17,,0.14,0.87,0.1479,0.09289617486338798,7459.32,0.05708196107996555,0.393786472539699,15032.470588235294,12476.950588235293,,
1988,441.91,,7895.58,,,,,2755.18,,0.84,0.13,0.056,0.39,2752.81,0.16,,0.14,0.9,0.14400000000000002,0.08695652173913045,7895.58,0.05848522385418509,0.38772466507984354,17219.875,14464.695,,
1989,447.63,,8387.49,,,,,2945.32,,0.85,0.14,0.053,0.39,2943.35,0.15,,0.14,0.89,0.1335,0.08108108108108107,8387.49,0.06230194615215101,0.3945576465196074,19635.466666666667,16690.146666666667,,
