0,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
I,,,,,,,,,,,,,,,,,152.3,120.41,163.83,212.85,268.03,288.23,254.39,323.44,249.11,290.23,429.23,392.53,398.85,422.29,441.91,447.63
I!,34.89,49.44,46.74,45.31,54.09,58.27,63.05,77.12,86.75,82.29,89.23,100.75,93.49,112.14,134.63,160.1,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,2387.1,2661.7,2920.8,3253.5,3774.6,4225.2,4884.4,5503.7,5859.2,6094.71,6432.91,6706.44,7056.52,7459.32,7895.58,8387.49
K g,0.18,0.17,0.16,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.14,0.14,0.15,0.14,0.14,,,,,,,,,,,,,,,,
KK,710.9,738.0,755.7,775.4,802.3,832.0,872.3,932.3,1014.4,1093.0,1202.5,1320.9,1453.4,1598.9,1737.7,1940.3,,,,,,,,,,,,,,,,
Pn,96.54,104.46,104.04,109.64,122.08,129.08,138.11,154.28,167.85,170.38,175.58,177.83,179.61,204.43,225.26,258.07,,,,,,,,,,,,,,,,
S,256.15,278.42,286.46,296.54,320.2,337.71,364.54,395.0,430.65,454.4,493.63,523.83,547.67,596.7,645.98,719.75,,,,,,,,,,,,,,,,
SP,256.04,278.34,285.93,295.95,319.54,337.07,364.0,394.44,430.09,453.42,493.12,523.25,546.86,596.04,645.51,719.63,778.82,868.78,971.25,1086.66,1221.76,1347.44,1463.67,1669.4,1726.06,1867.15,2103.7,2258.31,2389.25,2555.52,2755.18,2945.32
b,0.62,0.62,0.64,0.63,0.62,0.62,0.62,0.61,0.61,0.63,0.64,0.66,0.67,0.66,0.65,0.64,,,,,,,,,,,,,,,,
c',0.86,0.82,0.84,0.85,0.83,0.83,0.83,0.8,0.8,0.82,0.82,0.81,0.83,0.81,0.79,0.78,0.8,0.86,0.83,0.8,0.78,0.79,0.83,0.81,0.86,0.84,0.8,0.83,0.83,0.83,0.84,0.85
fn,,,,,,,,,,,,,,,,,0.12,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.13,0.13,0.14
gK,0.049,0.067,0.062,0.058,0.067,0.07,0.072,0.083,0.086,0.075,0.074,0.076,0.064,0.07,0.077,0.083,0.064,0.045,0.056,0.065,0.071,0.068,0.053,0.059,0.043,0.048,0.067,0.059,0.057,0.057,0.056,0.053
r',0.47,0.45,0.45,0.46,0.46,0.45,0.45,0.43,0.42,0.42,0.41,0.4,0.42,0.42,0.4,0.39,0.36,0.41,0.4,0.38,0.36,0.36,0.36,0.36,0.38,0.36,0.37,0.38,0.4,0.39,0.39,0.39
s,,,,,,,,,,,,,,,,,778.25,867.02,968.82,1083.13,1221.07,1346.24,1462.7,1668.19,1724.68,1865.8,2101.78,2258.68,2401.11,2563.38,2752.81,2943.35
s',0.14,0.18,0.16,0.15,0.17,0.17,0.17,0.2,0.2,0.18,0.18,0.19,0.17,0.19,0.21,0.22,0.2,0.14,0.17,0.2,0.22,0.21,0.17,0.19,0.14,0.16,0.2,0.17,0.17,0.17,0.16,0.15
s'u,0.1,0.15,0.14,0.13,0.15,0.15,0.16,0.19,0.2,0.18,0.18,0.19,0.15,0.17,0.19,0.21,,,,,,,,,,,,,,,,
s'«u,,,,,,,,,,,,,,,,,0.18,0.11,0.14,0.17,0.2,0.19,0.15,0.16,0.11,0.13,0.18,0.16,0.14,0.14,0.14,0.14
u,0.77,0.84,0.84,0.83,0.87,0.9,0.93,0.98,1.01,0.99,0.99,0.99,0.9,0.88,0.93,,0.9,0.79,0.83,0.87,0.89,0.89,0.85,0.84,0.77,0.84,0.89,0.89,0.85,0.87,0.9,0.89
