realtime_start,realtime_end,date,value
2025-09-22,2025-09-22,1990-01-01,82.6457
2025-09-22,2025-09-22,1990-02-01,81.6992
2025-09-22,2025-09-22,1990-03-01,83.586
2025-09-22,2025-09-22,1990-04-01,84.8475
2025-09-22,2025-09-22,1990-05-01,84.9011
2025-09-22,2025-09-22,1990-06-01,86.0221
2025-09-22,2025-09-22,1990-07-01,83.3818
2025-09-22,2025-09-22,1990-08-01,89.3761
2025-09-22,2025-09-22,1990-09-01,86.6897
2025-09-22,2025-09-22,1990-10-01,84.7336
2025-09-22,2025-09-22,1990-11-01,85.0071
2025-09-22,2025-09-22,1990-12-01,81.2549
2025-09-22,2025-09-22,1991-01-01,78.8059
2025-09-22,2025-09-22,1991-02-01,78.2168
2025-09-22,2025-09-22,1991-03-01,75.2895
2025-09-22,2025-09-22,1991-04-01,78.2508
2025-09-22,2025-09-22,1991-05-01,75.1651
2025-09-22,2025-09-22,1991-06-01,78.1719
2025-09-22,2025-09-22,1991-07-01,81.4553
2025-09-22,2025-09-22,1991-08-01,80.4702
2025-09-22,2025-09-22,1991-09-01,82.7208
2025-09-22,2025-09-22,1991-10-01,81.8571
2025-09-22,2025-09-22,1991-11-01,82.0502
2025-09-22,2025-09-22,1991-12-01,80.7077
2025-09-22,2025-09-22,1992-01-01,81.6188
2025-09-22,2025-09-22,1992-02-01,81.1007
2025-09-22,2025-09-22,1992-03-01,83.6526
2025-09-22,2025-09-22,1992-04-01,81.9703
2025-09-22,2025-09-22,1992-05-01,81.7945
2025-09-22,2025-09-22,1992-06-01,82.159
2025-09-22,2025-09-22,1992-07-01,82.3963
2025-09-22,2025-09-22,1992-08-01,81.614
2025-09-22,2025-09-22,1992-09-01,79.3127
2025-09-22,2025-09-22,1992-10-01,81.7475
2025-09-22,2025-09-22,1992-11-01,82.5152
2025-09-22,2025-09-22,1992-12-01,79.883
2025-09-22,2025-09-22,1993-01-01,84.0343
2025-09-22,2025-09-22,1993-02-01,84.6487
2025-09-22,2025-09-22,1993-03-01,84.3649
2025-09-22,2025-09-22,1993-04-01,84.3255
2025-09-22,2025-09-22,1993-05-01,84.0424
2025-09-22,2025-09-22,1993-06-01,87.1511
2025-09-22,2025-09-22,1993-07-01,84.5334
2025-09-22,2025-09-22,1993-08-01,86.7188
2025-09-22,2025-09-22,1993-09-01,86.9583
2025-09-22,2025-09-22,1993-10-01,85.806
2025-09-22,2025-09-22,1993-11-01,87.4792
2025-09-22,2025-09-22,1993-12-01,90.023
2025-09-22,2025-09-22,1994-01-01,87.6502
2025-09-22,2025-09-22,1994-02-01,89.7965
2025-09-22,2025-09-22,1994-03-01,89.6535
2025-09-22,2025-09-22,1994-04-01,92.4332
2025-09-22,2025-09-22,1994-05-01,93.1942
2025-09-22,2025-09-22,1994-06-01,90.2843
2025-09-22,2025-09-22,1994-07-01,91.7529
2025-09-22,2025-09-22,1994-08-01,89.1308
2025-09-22,2025-09-22,1994-09-01,92.1813
2025-09-22,2025-09-22,1994-10-01,93.4314
2025-09-22,2025-09-22,1994-11-01,92.6235
2025-09-22,2025-09-22,1994-12-01,94.9784
2025-09-22,2025-09-22,1995-01-01,94.6355
2025-09-22,2025-09-22,1995-02-01,92.7534
2025-09-22,2025-09-22,1995-03-01,91.7573
2025-09-22,2025-09-22,1995-04-01,90.649
2025-09-22,2025-09-22,1995-05-01,89.7765
2025-09-22,2025-09-22,1995-06-01,88.7246
2025-09-22,2025-09-22,1995-07-01,87.0419
2025-09-22,2025-09-22,1995-08-01,87.7344
2025-09-22,2025-09-22,1995-09-01,90.1223
2025-09-22,2025-09-22,1995-10-01,88.0252
2025-09-22,2025-09-22,1995-11-01,90.3389
2025-09-22,2025-09-22,1995-12-01,88.3013
2025-09-22,2025-09-22,1996-01-01,87.6166
2025-09-22,2025-09-22,1996-02-01,88.3402
2025-09-22,2025-09-22,1996-03-01,89.5199
2025-09-22,2025-09-22,1996-04-01,88.3228
2025-09-22,2025-09-22,1996-05-01,88.8156
2025-09-22,2025-09-22,1996-06-01,90.2933
2025-09-22,2025-09-22,1996-07-01,88.5937
2025-09-22,2025-09-22,1996-08-01,89.828
